Row	Col.	Element
59	7	-0.00081
60	7	-0.00203
61	7	-0.00010
62	7	-0.00379
63	7	0.00304
64	7	-0.00634
65	7	0.00104
66	7	0.00113
67	7	0.00018
68	7	0.00066
69	7	-0.00154
70	7	-0.00793
71	7	-0.00053
72	7	0.00031
73	7	-0.00540
74	7	-0.00287
75	7	-0.00186
76	7	0.00003
77	7	-0.00000
78	7	-0.00008
79	7	0.00003
80	7	0.00002
81	7	0.00001
82	7	0.00001
83	7	-0.00003
84	7	0.00002
85	7	-0.00002
86	7	-0.00002
87	7	0.00007
88	7	-0.00003
1	8	-0.00653
2	8	0.00891
3	8	0.00515
4	8	0.00024
5	8	0.01216
6	8	0.00676
7	8	0.30548
8	8	-0.95328
9	8	0.04748
10	8	0.00997
11	8	0.00552
12	8	-0.01676
13	8	-0.02526
14	8	-0.01067
15	8	0.00595
16	8	0.00780
17	8	-0.00044
18	8	-0.00066
19	8	-0.00722
20	8	0.00014
21	8	0.00238
22	8	0.00052
23	8	-0.00347
24	8	-0.00638
25	8	0.00025
26	8	0.00331
27	8	-0.00326
28	8	-0.00656
29	8	0.00253
30	8	-0.00197
31	8	-0.00035
32	8	-0.00103
33	8	-0.00226
34	8	0.00005
35	8	-0.00069
36	8	0.00095
37	8	0.00006
38	8	0.00043
39	8	-0.00038
40	8	0.00125
41	8	0.00003
42	8	-0.00219
43	8	-0.00053
44	8	-0.00159
45	8	-0.00024
46	8	-0.00233
47	8	0.00061
48	8	-0.00368
49	8	0.00083
50	8	0.00231
51	8	0.00001
52	8	-0.00023
53	8	0.00179
54	8	0.00052
55	8	-0.00064
56	8	0.00106
57	8	0.00005
58	8	-0.00004
59	8	0.00114
60	8	-0.00102
61	8	-0.00012
62	8	-0.00142
63	8	0.00112
64	8	-0.00234
65	8	0.00017
66	8	-0.00033
67	8	0.00014
68	8	-0.00030
69	8	-0.00032
70	8	-0.00285
71	8	-0.00020
72	8	0.00032
73	8	-0.00208
74	8	-0.00126
75	8	-0.00130
76	8	-0.00001
77	8	-0.00001
78	8	-0.00003
79	8	-0.00000
80	8	0.00001
81	8	0.00002
82	8	0.00003
83	8	-0.00007
84	8	-0.00001
85	8	0.00005
86	8	0.00003
87	8	0.00002
88	8	-0.00019
1	9	0.01956
2	9	-0.00610
3	9	-0.01682
4	9	0.05295
5	9	-0.31930
6	9	0.00735
7	9	-0.37956
8	9	-0.18104
9	9	-0.83722
10	9	-0.07847
11	9	0.11404
12	9	-0.00078
13	9	0.09580
14	9	0.05202
15	9	-0.00348
16	9	-0.00352
17	9	-0.00111
18	9	-0.00745
19	9	-0.01876
20	9	-0.00349
21	9	0.00253
22	9	-0.00138
23	9	0.00776
24	9	0.00884
25	9	0.00685
26	9	0.00636
27	9	0.02519
28	9	-0.00885
29	9	0.00332
30	9	0.00480
31	9	-0.00010
32	9	0.00224
33	9	0.00094
34	9	0.00201
35	9	0.00001
36	9	-0.00859
37	9	-0.00060
38	9	-0.00190
39	9	0.00026
40	9	0.00086
41	9	0.00035
42	9	-0.00047
43	9	-0.00630
44	9	-0.00181
45	9	0.00399
46	9	-0.00030
47	9	-0.00138
48	9	-0.00272
49	9	-0.00063
50	9	0.00322
51	9	-0.00015
52	9	0.00071
53	9	0.00071
54	9	-0.00041
55	9	-0.00289
56	9	0.00194
57	9	-0.00615
58	9	-0.00017
59	9	-0.00188
60	9	-0.00216
61	9	0.00046
62	9	-0.00223
63	9	-0.00106
64	9	-0.00541
65	9	0.00091
66	9	0.00214
67	9	-0.00085
68	9	0.00017
69	9	-0.00163
70	9	-0.00459
71	9	-0.00044
72	9	-0.00065
73	9	-0.00119
74	9	0.00104
75	9	0.00042
76	9	0.00002
77	9	0.00009
78	9	0.00009
79	9	0.00001
80	9	-0.00002
81	9	-0.00007
82	9	-0.00004
83	9	-0.00004
84	9	0.00004
85	9	-0.00005
86	9	-0.00009
87	9	-0.00002
88	9	-0.00002
1	10	-0.00096
2	10	-0.00913
3	10	0.01722
4	10	-0.05013
5	10	-0.00007
6	10	-0.02860
7	10	0.05133
8	10	0.01600
9	10	0.08727
10	10	-0.98827
11	10	-0.03863
12	10	-0.05470
13	10	0.03476
14	10	0.06564
